rep, VT_rate, phenotype, count, partner
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000001, 1750, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000001000101, 1, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000000, 7937, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001010, 3, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100001, 7, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100000, 14, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001001, 4, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010100, 5, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000011, 28, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010001, 8, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001000, 19, host
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100100, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010110, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010001, 2, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000011010, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010011, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001110, 3, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010000, 19, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010010, 4, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000110, 98, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001001, 79, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100000, 22, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001010, 95, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100001, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000000, 7488, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000110001, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000010, 779, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000001, 996, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000100000011, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000011000, 3, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000011, 82, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001000, 53, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001011, 6, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000001010001, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000100010, 3, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000100, 37, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000010100, 5, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000111, 6, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000010010010, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000000101, 2, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000101010, 1, sym
10, 0.2, 0000000000000000000000000000000000000000000000000000000000001100, 1, sym
11, 0.2, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
11, 0.2, 0000000000000000000000000000000000000000000000000000000000000000, 9862, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000110, 2, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001101, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010011, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000101000, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010111, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000001000101, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010110, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000011011, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000100001, 3, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000011000, 6, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010100, 8, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000100011, 3, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000001000001, 2, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010010, 3, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000010001010, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001010, 214, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000011001, 3, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000011, 94, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000010, 375, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000110001, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001011, 49, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000000, 6508, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000001, 1843, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001001, 341, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000100000, 11, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001000, 406, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000100, 30, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000011010, 2, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000001001001, 3, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010000, 55, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000100010, 6, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000001010001, 2, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000010000010, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000101, 7, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010001, 9, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000111, 3, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000101001, 1, host
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001011, 1, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000011001, 1, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000010, 100, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001000, 27, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000011000, 1, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000001, 342, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000000000, 8272, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000010100, 5, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000001001, 3, sym
12, 0.2, 0000000000000000000000000000000000000000000000000000000000100000, 17, sym
